Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2",C_0603,C14663,2
10kΩ,"R10,R11,R2,R3,R4,R6,R7,R8,R9",R_0402,C25744,9
10uF,"C3,C4",C_0603,C19702,2
330Ω,R1,R_0402,C25104,1
AMS1117,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
Red,D3,D_0603,C2286,1
SN74CB3Q3384APW,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C469874,1
Chainbus Out,J2,PinSocket_2x16_P2.54mm_Vertical_SMD,,1
~,H8,Hole_Tooling_JLCPCB,,1
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,,1
~,H7,Hole_Tooling_JLCPCB,,1
Conn_01x06_Pin,J7,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,,1
Conn_01x04_Pin,J4,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Conn_01x04_Pin,J11,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
~,H9,Hole_Tooling_JLCPCB,,1
Chainbus in,J1,PinHeader_2x16_P2.54mm_Vertical_SMD,,1
